Name,Address_full,Phone_number,Website,Rating,Region,Category
TRESSON TRAITEUR,"Rue de Pont-à-Mousson, 57000 Metz, France",+33 6 13 29 46 88,http://tressontraiteur.fr/,4.6,Grand Est,
Le Goût et Vous,"52 Rue du Plan Incliné, 57405 Arzviller, France",+33 3 87 23 05 48,http://www.legoutetvous.fr/,4.6,Grand Est,
DAN traiteur,"51b Rue de la Potence, 57360 Amnéville, France",+33 6 16 04 42 21,http://www.dan-traiteur.fr/,4.9,Grand Est,
Cuisto 57,"68 Rue Principale, 57550 Falck, France",+33 6 80 37 99 18,https://cuisto-57.eatbu.com/,4.6,Grand Est,
MF Traiteur,,+33 6 99 34 34 69,https://www.facebook.com/profile.php?id=61555772214105,4.8,Grand Est,
Le Mât de Cocagne Traiteur,"4 All. de l'Europe, 67140 Barr, France",+33 3 88 58 89 22,https://matdecocagne-traiteur.fr/,4.6,Grand Est,
Complicité Gourmande,,+33 6 49 46 50 74,,5.0,Grand Est,
Lou R traiteur,,+33 6 76 96 11 11,https://lou-r-traiteur.eatbu.com/,4.9,Grand Est,
Sam Régale Les Papilles,"9 Rue de Willermont, 54540 Pexonne, France",+33 6 20 08 62 66,https://www.samregalelespapilles.fr/,5.0,Grand Est,
La Toque Mosellane Traiteur,"99 Rue Principale, 57980 Diebling, France",+33 3 87 02 82 32,http://www.latoque-traiteur.fr/contact.html,4.5,Grand Est,
EMD Traiteur,"5 Rue Haie le Bailly, 57530 Silly-sur-Nied, France",+33 3 87 64 06 26,http://www.emdtraiteur.fr/,4.9,Grand Est,
Lorraine Réception,"12 Rue Robert Schuman, 54850 Messein, France",+33 3 83 20 81 40,http://www.lorraine-reception.fr/,4.8,Grand Est,
Eric traiteur Bratte,"5 Grande Rue, 54610 Bratte, France",+33 3 83 35 21 53,,5.0,Grand Est,
Tout & Bon Metz,"23 Rue Louis Blériot ZI Jonquière, 57640 Argancy, France",+33 3 87 61 82 27,https://toutetbon.fr/nos-traiteurs-france/metz,4.7,Grand Est,
PIERRE TRAITEUR,"52 Rue du Pont, 57980 Diebling, France",+33 6 72 28 27 88,http://www.pierretraiteur.fr/,5.0,Grand Est,
EF Traiteur,,+33 6 71 38 71 47,,5.0,Grand Est,
Les Fééries de Cathy,,,,5.0,Grand Est,
Le Goût du Partage,"12 Rue du Château, 54850 Messein, France",+33 7 56 92 72 65,https://goutdupartage.fr/,5.0,Grand Est,
Les plats de gaia,"2 ter Rue des Meix, 54420 Cerville, France",+33 6 69 21 63 08,http://lesplatsdegaia.com/,5.0,Grand Est,
Le tailleur du goût,"4 Bcle du Château, 57100 Manom, France",+33 6 87 62 74 78,https://www.facebook.com/letailleurdugout/,5.0,Grand Est,
Crazy Cook Catering,"12 Grand Rue, 67490 Gottesheim, France",+33 3 88 02 81 46,http://www.crazy-cook.fr/,4.7,Grand Est,
Eric Traiteur,"13 Rue de Morville, 54700 Port-sur-Seille, France",+33 6 25 48 80 18,http://www.eric-traiteur.com/,4.6,Grand Est,
Greg Le Traiteur Des Copains,,+33 6 10 48 28 26,http://www.letraiteurdescopains.com/,5.0,Grand Est,
Maison Baubon | Traiteur Gastronomique en Livraison à Domicile | Traiteur de Mariage et Evènementiel en Alsace Lorraine,,+33 3 67 37 01 53,http://www.maisonbaubon.fr/,4.8,Grand Est,
TRAITEUR HENRI,"12 Rue des Ormes, 57200 Sarreguemines, France",+33 3 87 26 32 57,http://www.traiteur-henri.fr/,4.7,Grand Est,
Le Traiteur Des Varennes,"8 Rue des Varennes, 52300 Osne-le-Val, France",+33 3 25 07 60 87,,4.8,Grand Est,
Traiteur-alsace,,+33 6 50 09 46 54,http://www.traiteur-alsace.fr/,5.0,Grand Est,
"Traiteur Nancy ""LG Création","61 Rue Jules Ferry, 54110 Varangéville, France",+33 3 83 45 40 47,http://www.lg-creation.fr/,4.6,Grand Est,
L'Art'Home Des Saveurs Traiteur,"7 Rue des Mésanges, 54115 Lalœuf, France",+33 6 74 94 73 40,http://larthomedessaveurstraiteur.fr/,4.9,Grand Est,
Agapes Traiteur - Nancy & Toul,"Lotissement de Préville, 54840 Bois-de-Haye, France",+33 3 83 28 75 42,https://www.agapes-traiteur.fr/,4.5,Grand Est,
AD'MIAM,,+33 6 83 15 63 12,https://admiam.eatbu.com/,5.0,Grand Est,
David traiteur chef à domicile,,+33 6 46 81 45 34,,5.0,Grand Est,
Artisan Traiteur Didier Rigoni,"29 Rue Saint-Laurent, 57310 Bertrange, France",+33 3 82 50 84 64,http://www.traiteur-rigoni.fr/,4.2,Grand Est,
La paella royale,,+33 6 13 44 61 24,,5.0,Grand Est,
Le Casier aux Saveurs de Marcotullio,,+33 3 83 35 93 88,http://www.lecasierauxsaveurs.com/,4.1,Grand Est,
Paganis traiteur,"419 Rue Gustave Eiffel, 54710 Ludres, France",+33 3 83 48 66 42,https://lespaganis.com/,4.8,Grand Est,
LB TRAITEUR,"3 Rue des Vergers Zone Artisanale, 54380 Saizerais, France",+33 3 83 29 03 59,https://www.lbtraiteur.com/,4.8,Grand Est,
Le Chaudron des Gourmets,,+33 6 58 78 00 59,https://www.lechaudrondesgourmets.fr/,5.0,Grand Est,
"Traiteur Transparence, votre traiteur à Marange-Silvange","13 Rue des Hauts Jardins, 57535 Marange-Silvange, France",,https://www.traiteur-transparence.fr/,5.0,Grand Est,
Bernard Cook | Traiteur de paëlla à domicile,,+33 6 08 68 88 85,https://www.bernardcook.fr/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.9,Grand Est,
"L'échoppe traiteur de Laurent Meilleur Ouvrier de France, 1minute10 les casiers par l'echoppe","131 Av. Foch, 54270 Essey-lès-Nancy, France",+33 7 81 61 17 62,https://www.lechoppe-traiteur.com/,4.7,Grand Est,
Fresh Traiteur Nancy,"413 Av. de Boufflers, 54520 Laxou, France",+33 7 86 11 24 97,https://www.fresh-traiteur.com/,4.4,Grand Est,
Au Chardon Traiteur,"Lot. les Prunelliers, 54230 Chavigny, France",+33 6 14 20 18 38,https://www.facebook.com/profile.php?id=100088242911320,5.0,Grand Est,
spgourmet,"7 Rue des Chênes, 57920 Metzeresche, France",,http://www.spgourmet.com/,5.0,Grand Est,
Les Délices de Ben,,,https://www.facebook.com/lesdelices.deben,5.0,Grand Est,
Au panier gourmand,"31 Rue de la Libération, 57450 Henriville, France",+33 6 67 44 95 25,,4.2,Grand Est,
Sarl Hugo Traiteur,"Chem. de Crotelle, 54760 Leyr, France",+33 3 83 31 92 91,,4.6,Grand Est,
L'Amour Food,,+33 6 50 02 80 18,https://lamourfood.fr/,5.0,Grand Est,
Toque Mosellane La,"100 Rue nationale, 57910 Hambach, France",+33 3 87 02 82 32,https://www.latoque-traiteur.fr/,4.1,Grand Est,
A LA CARTE TRAITEUR & RESTAURANT - HALAL,"14 Rue de Verdun, 57700 Hayange, France",+33 3 74 47 28 72,http://www.alacartetraiteur.fr/,4.9,Grand Est,
Artisan des gastronomes,,+33 6 29 47 88 77,https://www.artisandesgastronomes.com/,5.0,Grand Est,
Cook N Roll Traiteur,"12 Rue de l'Hôtel de ville, 54240 Jœuf, France",+33 3 82 33 26 19,http://www.cooknrolltraiteur.com/,4.4,Grand Est,
Fournier Traiteur,,+33 9 54 00 58 21,https://www.fournier-traiteur.fr/,4.9,Grand Est,
Cuisine Vraie,"8 Gr Grande Rue, 88700 Romont, France",+33 6 32 83 20 63,http://www.cuisinevraie.fr/,5.0,Grand Est,
Bloomy Season,,+33 6 26 31 56 91,,5.0,Grand Est,
Dom Traiteur Saveurs et gourmandises à Louvemont,"6 Rue du Four, 52130 Louvemont, France",+33 6 40 06 61 92,https://www.facebook.com/profile.php?id=100088902942906,5.0,Grand Est,
thuringer traiteur,,+33 3 87 64 10 34,,4.9,Grand Est,
LE GAIGNE CHEZ VOUS,,+33 6 14 74 03 92,https://www.lafermedeschanottes.fr/le-gaigne-chez-vous/,5.0,Grand Est,
Nourit Delicatessen,"6 Rue Mazelle, 57000 Metz, France",+33 6 22 34 29 61,http://www.nouritandco.com/,5.0,Grand Est,
Maison Magira,"32 Rue de la Tête d'Or, 57000 Metz, France",+33 3 87 75 30 60,http://maisonmagira.fr/,4.5,Grand Est,
Julien Traiteur,"16 Rue Pasteur, 57570 Puttelange-lès-Thionville, France",+33 6 68 38 98 38,,5.0,Grand Est,
Chez Mélo,,+33 6 48 29 97 30,,5.0,Grand Est,
Lefort Traiteur,"14 Rue Basse des Fossés, 55300 Saint-Mihiel, France",+33 3 29 70 79 18,http://www.lefort-traiteur.com/,4.7,Grand Est,
Rose delice,"31 Rue de Salm, 54280 Seichamps, France",+33 7 82 39 54 15,https://rose-delice.webnode.fr/,4.7,Grand Est,
"prestige de chef , amour et delice","162 Rue d'Alsace, 88100 Saint-Dié-des-Vosges, France",+33 6 60 21 48 59,http://www.prestigedechef.fr/,4.7,Grand Est,
La p'tite pause créole - FOOD TRUCK TRAITEUR CREOLE,"27 Rue d'Alsace, 54110 Varangéville, France",+33 6 51 72 07 56,http://www.laptitepausecreole.com/,4.8,Grand Est,
O'H PLÉZIR DÉ Z'ÎLES,,+352 661 139 111,https://oh-plezir-de-ziles.eatbu.com/,5.0,Grand Est,
Milleetunplats,"204 Av. de Colmar, 67100 Strasbourg, France",+33 6 71 37 43 63,https://www.milleetunplats.fr/,5.0,Grand Est,
Jasteli,,+33 6 43 19 17 44,https://www.instagram.com/jasteli_pizza/,5.0,Grand Est,
TRAITEUR LE CHAMPENOIS,"TRAITEUR LE CHAMPENOIS, 51300 Thiéblemont-Farémont, France",+33 3 26 73 81 03,,4.5,Grand Est,
Les Fermiers D'ici,"10 Av. des Érables, 54180 Houdemont, France",+33 3 72 47 23 00,https://www.lesfermiersdici.com/,5.0,Grand Est,
Eg Mg Traiteur - Minute Gourmande De,"Zone artisanale du petit breuil, 54400 Longwy, France",+33 6 17 17 86 77,https://www.traiteurgrandest.com/,4.1,Grand Est,
Lorraine Réception,"4 Rue Marconi, 57070 Metz, France",+33 3 87 20 41 96,http://www.lorraine-reception.fr/,4.4,Grand Est,
traiteur guillaume pierrard,"Village pme, 08140 Douzy, France",+33 6 58 72 21 22,http://www.traiteur-guillaumepierrard.com/,4.9,Grand Est,
Traiteur Boucherie Helmbacher,"9 Rue Gén de Gaulle, 67140 Andlau, France",+33 3 88 08 93 16,http://traiteur-huchelmann.fr/,4.7,Grand Est,
Mirabel'fig,,,https://mirabelfig.fr/,5.0,Grand Est,
LE PALAIS DES GOURMANDS,"13 Grande Rue, 54290 Bayon, France",+33 6 27 49 11 75,https://www.le-palais-des-gourmands.com/,4.9,Grand Est,
fabien kieffer traiteur,"19 Ave. de la Liberté, 57050 Le Ban-Saint-Martin, France",+33 6 24 20 57 31,https://www.facebook.com/p/Fabien-Kieffer-Traiteur-100063627068348/?locale=fr_FR,5.0,Grand Est,
Reinhardt Philippe - Le Palais Gourmand - Charcutier Traiteur,"62 Grand Rue, 57400 Sarrebourg, France",+33 3 87 03 12 25,https://reinhardt-lepalaisgourmand.com/,4.8,Grand Est,
Beniere Traiteur,"Zone Spodati, 54640 Tucquegnieux, France",+33 3 82 46 15 99,http://www.beniere-traiteur.com/,4.5,Grand Est,
L'escale,,+33 6 63 85 37 87,https://www.facebook.com/profile.php?id=100072644454843,5.0,Grand Est,
Kieffer traiteur,"1 All. du Château de Sury, 67550 Vendenheim, France",+33 3 88 83 45 45,https://www.kieffertraiteur.com/,4.5,Grand Est,
CUISIN STUDIO,"11 Rue du Cercle, 67960 Entzheim, France",+33 6 81 06 29 64,http://www.cuisin-studio.com/,5.0,Grand Est,
Cé Mets Papilles,,+33 6 42 58 87 66,,5.0,Grand Est,
Vita'table,,+33 6 40 59 73 24,,5.0,Grand Est,
L'ART'HOME DES SAVEURS TRAITEUR,,+33 6 74 94 73 40,http://larthomesaveurstraiteur.com/?utm_source=gmb&utm_medium=referral,,Grand Est,
Couscous Lella Nancy | Traiteur,"18 Rue Pierre Chalnot, 54000 Nancy, France",+33 7 81 81 42 27,https://www.couscouslella-nancy.com/,4.9,Grand Est,
Traiteur Jerôme,"27 Rue de Wittisheim, 67600 Muttersholtz, France",+33 6 64 77 47 56,http://www.traiteurjerome.fr/,3.8,Grand Est,
Pizzeria de Dieue sur Meuse | Nicolas le cuisinier | Traiteur | Pizzas,,+33 6 29 02 23 69,,4.8,Grand Est,
Traiteur Chez Soi,"26 Rue de l'Ardèche, 67100 Strasbourg, France",+33 3 88 40 01 96,http://www.chezsoi-traiteur.com/,4.1,Grand Est,
Atelier Culina,"58 bis Rue Principale, 57640 Servigny-lès-Sainte-Barbe, France",,,4.2,Grand Est,
BON APPETIT,,+33 6 84 69 52 17,,4.0,Grand Est,
La Tournée Du Crousti,,+33 6 12 24 15 29,https://www.latourneeducrousti.fr/,4.3,Grand Est,
E.Leclerc TRAITEUR Wasselonne,"RD25, 67310 Wasselonne, France",+33 3 88 04 80 60,https://www-traiteur.leclercdrive.fr/passerelle/passerelle.aspx?param=MAGASIN136861&vue=32,4.0,Grand Est,
La Maison Créole,"3 place de Gascogne, 57420 Solgne, France",+33 7 66 87 57 04,http://www.traiteurlamaisoncreole.com/,4.9,Grand Est,
Paffuta,,,http://instagram.com/paffuta_streetfoodmetz,5.0,Grand Est,
L'Artisan Gourmand,"30 Rte de Sarrebruck, 57530 Silly-sur-Nied, France",+33 6 83 16 93 23,https://www.artisan-gourmand.fr/,5.0,Grand Est,
Sucrés Salés du Portugal,,+33 6 13 38 58 02,https://www.sucres-sales-du-portugal.fr/,5.0,Grand Est,
Les barquettes gourmandes,,+33 6 29 14 40 32,https://www.facebook.com/profile.php?id=100065265770047,,Grand Est,
La Caze CHERON,,+33 7 49 32 87 95,https://www.lacazecheron.fr/,5.0,Grand Est,
A midi si tu cherches,,+33 6 89 06 70 53,,5.0,Grand Est,
La Gourmandine Pâtissier Traiteur,"Z.A du Grand Ban, 08000 La Francheville, France",+33 3 24 32 26 76,http://www.la-gourmandine-08.com/,4.9,Grand Est,
Saveurs du Brésil - Traiteur de spécialités brésiliennes à Metz,,+33 6 28 05 35 51,,5.0,Grand Est,
Reinhardt Traiteur,"Zone artisanale, 57400 Sarrebourg, France",+33 3 87 03 44 64,http://reinhardt-traiteur.com/,5.0,Grand Est,
Traiteur Atelier Gourmand,,+33 6 50 88 77 24,http://www.ateliergourmandtraiteur.fr/,,Grand Est,
MY NEMS IS PON,"29 Rue Grand Rue, 55210 Beney-en-Woëvre, France",+33 6 82 17 32 11,https://m.facebook.com/profile.php?eav=AfYwow4_NV0s46mO5MLl0bY09fX6nxhjy-Yi85adEPmo-0SIg81FVoqC_CFy_tBlvNg&paipv=0,4.9,Grand Est,
Guilleminot Charcuterie Traiteur,"28 Rue Jean Jaurès, 10500 Brienne-le-Château, France",+33 3 25 92 80 14,http://www.guilleminot-traiteur.com/,4.6,Grand Est,
Etienne Traiteur / Le Coq Cervois,"73 Av. de Metz, 54320 Maxéville, France",+33 6 52 38 11 46,https://coqcervois.com/,5.0,Grand Est,
Les 3 L boucher traiteur halal,"13 Rue de Mon Désert, 54000 Nancy, France",+33 3 83 28 46 04,https://www.facebook.com/Laredjbensi,4.9,Grand Est,
Gr traiteur,"57 Rue Carnot, 54190 Villerupt, France",,,4.8,Grand Est,
Banh Bao Augny,"7 All. des Tilleuls, 57130 Jouy-aux-Arches, France",+33 6 72 12 08 05,https://banhbao.fr/,4.2,Grand Est,
Cuis'iN Boulas Anne Marie,,+33 6 24 92 09 54,,,Grand Est,
M. Buffet Hervé,"16 Rue de l'Agriculture, 08400 Vouziers, France",+33 3 24 71 90 43,http://www.hervebuffettraiteur.fr/?utm_source=gmb,4.4,Grand Est,
Gilbin Traiteur Verdun,"2 Rue Charles Delvert, 55100 Verdun, France",+33 3 72 92 96 60,https://www.gilbintraiteur.fr/,3.8,Grand Est,
Le Soleïade,"10 Rue de France, 55130 Demange-Baudignécourt, France",+33 3 29 92 01 19,,4.9,Grand Est,
mathy traiteur,,+33 7 62 65 15 01,https://mathy-traiteur-jonval.eatbu.com/,,Grand Est,
Boucherie-Charcuterie-Traiteur D-G,"31 Grand Rue, 57400 Sarrebourg, France",+33 3 54 83 13 81,https://www.facebook.com/boucherieDG/,4.8,Grand Est,
Bugara Cedric,"10 Rue de la Roche, 88700 Bazien, France",+33 6 26 21 63 87,,5.0,Grand Est,
Morel,"8 Rue de la Verrerie, 55000 Fains-Véel, France",+33 3 29 79 00 91,,4.2,Grand Est,
festi'chaud,,+33 6 56 83 46 63,http://festichaud.eatbu.com/?lang=fr,,Grand Est,
Traiteur by Logan LAUG,,+33 6 58 44 63 32,https://www.loganlaug.fr/,,Grand Est,
Jipè,,,https://instagram.com/jipe_cuisine?igshid=YmMyMTA2M2Y=,,Grand Est,
O'h plézir dé z'iles,,+352 661 139 111,,,Grand Est,
ALABANANE,,+33 6 33 16 27 14,https://www.alabanane.com/,5.0,Grand Est,
"Domaine, Restaurant & Traiteur M | Mariage & Réception Privée en Alsace, Lorraine, Bas Rhin, Moselle","9 Pl. Charles de Gaulle, 57565 Niderviller, France",+33 3 87 07 37 99,https://www.restaurant-m-niderviller.com/,4.7,Grand Est,
Les petits plats de Chantal,"4 Qur Claude Gelée, 88130 Charmes, France",+33 6 17 63 71 47,,5.0,Grand Est,
Boucherie charcuterie traiteur Grandjean,"244 Av. du Général Leclerc, 54000 Nancy, France",+33 3 83 56 62 34,,4.8,Grand Est,
Steffen Traiteur,"8 Rte d'Arlon, 8410 Steinfort, Luxembourg",+352 39 96 50 300,http://www.steffentraiteur.lu/,4.5,Grand Est,
Traiteur les 5-Seans,,+352 621 597 706,http://www.andermillen.lu/,5.0,Grand Est,
Ti Rougail,,+33 6 42 57 14 96,,,Grand Est,
Les Délices du jardin d'Iris,,+33 6 99 50 19 71,,,Grand Est,
The Chic'n,"2 B Imp. des Jardins, 54290 Crévéchamps, France",+33 7 66 37 19 12,https://thechicn.wixsite.com/thechicn,5.0,Grand Est,
Gourmandises & Cie,"39 Rue du Mont, 54134 Ceintrey, France",+33 6 37 64 38 91,https://www.facebook.com/gourmandisesetcieceintrey,5.0,Grand Est,
Service Traiteur,,,http://www.servicetraiteur.lu/,5.0,Grand Est,
Aurore cuisine,,+33 7 82 74 62 04,https://www.instagram.com/aurore_cuisine?igsh=MWZiYmRjcDhrenp5aA==,,Grand Est,
Les P'tits Plats De Laura,,+33 6 58 59 09 14,,,Grand Est,
Mon Traiteur,"Mon Traiteur, 169 Bd Charles Simonis, 2539 Cents Luxembourg",+352 691 393 199,https://montraiteur.lu/,5.0,Grand Est,
Au vieux ciné,"2 Rue du Bienfaiteur C Crouzier, 54540 Badonviller, France",+33 3 55 87 28 85,https://restaurant-auvieuxcine.fr/,4.8,Grand Est,
La Petite Suisse - Bar / Restaurant / Traiteur,"98 Rue nationale, 57230 Éguelshardt, France",+33 3 87 06 15 33,http://www.lapetitesuisse.fr/,4.4,Grand Est,
LA conseils,,+33 6 68 64 03 17,http://www.laconseils.alsace/,,Grand Est,
Boucherie Charcuterie Traiteur Iller,"43 Rte de Dachstein, 67120 Molsheim, France",+33 3 90 40 96 88,http://www.monalsacien.fr/,4.3,Grand Est,
CuisineFit,,+33 6 74 56 59 88,,4.3,Grand Est,
Sarl la Fourchette Du Mineur,"79 Rue Clemenceau, 57440 Algrange, France",+33 3 82 84 31 17,,4.1,Grand Est,
Made In Lebanon,"5 Rue Gabriel Péri, 54110 Varangéville, France",+33 7 71 71 44 22,https://madeinlebanon54.fr/,4.9,Grand Est,
Traiteur Peitry,,+352 26 78 75 98,https://traiteur.peitry.lu/,,Grand Est,
L’icône - Foodtruck,,+33 7 81 99 53 12,http://licone-capucin.fr/,5.0,Grand Est,
Les Alliances du terroir,,+33 6 32 30 80 14,,,Grand Est,
LE GAIGNE CHEZ VOUS,"19 Rue Saint-Léon, 54115 Fécocourt, France",+33 6 14 74 03 92,https://www.lafermedeschanottes.fr/le-gaigne-chez-vous/,5.0,Grand Est,
Les Ateliers De Papou,,+33 6 43 88 01 41,,5.0,Grand Est,
Class'croute,"3 All. de Longchamps, 54500 Vandœuvre-lès-Nancy, France",+33 3 83 26 02 02,https://www.classcroute.com/page/region/grand-est/restaurant/nancy,4.4,Grand Est,
NuageDoré,,+33 6 21 46 22 75,https://www.nuagedore.fr/,,Grand Est,
Paul S.a R.l.,"Paul S.a R.l., 36 Rue Philippe II, 2340 Ville-Haute Luxembourg",+352 26 22 71 04,,4.4,Grand Est,
Lily' burgers Évents,,+33 7 82 94 75 23,,4.5,Grand Est,
Traiteur Gastron'Home Etalle,,+32 63 45 63 16,,4.8,Grand Est,
E.Leclerc TRAITEUR Drive Ligny-en-Barrois,"Chemin des Battants, 55500 Ligny-en-Barrois, France",+33 3 29 79 27 45,https://www.traiteur.leclerc/region-grand-est/saint-dizier/drive-ligny-en-barrois_traiteur-bar-le-duc.aspx,,Grand Est,
Tiburtina,,+33 6 73 20 36 57,,,Grand Est,
Boucherie Charcuterie Traiteur Haas,"10 Rue des Martyrs de la Résistance, 57950 Montigny-lès-Metz, France",+33 3 87 63 94 07,,4.4,Grand Est,
la croisée des gourmandises,,+33 6 52 82 46 39,https://www.instagram.com/la_croisee_des_gourmandises/profilecard/?igsh=NHgwcmQyYzhjcWRw,5.0,Grand Est,
Rest'o Domicile,,+33 6 98 48 47 15,,,Grand Est,
Dellectable,,,,4.7,Grand Est,
Petit Fermier Traiteur,"139 Rue des Arts, 59100 Roubaix, France",+33 3 20 43 91 20,https://petitfermier-traiteur.fr/,4.9,Hauts-de-France,
VALENTIN TRAITEUR,,+33 6 22 25 40 27,https://www.valentin-traiteur.com/,5.0,Hauts-de-France,
Saveurs et Chef traiteur,"1 Rue De Thouart, 59242 Cappelle-en-Pévèle, France",+33 6 87 59 75 58,https://saveursetchef.com/,4.9,Hauts-de-France,
Gael Barré Chef à domicile/traiteur,,+33 6 50 60 23 55,http://www.gael-barre.fr/?utm_source=google&utm_medium=my-business&utm_campaign=my-business,5.0,Hauts-de-France,
La Pôelée Gourmande,"3 Rue Jacques Duclos, 62680 Méricourt, France",+33 6 81 67 89 35,http://lapoeleegourmande.com/,4.6,Hauts-de-France,
Les délices de Stéphane,"79 Rue Arthur Lamendin, 62430 Sallaumines, France",+33 6 50 83 86 45,http://www.lesdelicesdestephane.com/,4.9,Hauts-de-France,
Délice réception traiteur mariage Nord Pas de Calais,"28 Rue des Laboureurs, 62880 Estevelles, France",+33 6 03 04 49 57,http://www.delicereception.fr/,4.9,Hauts-de-France,
Bonsigne,"121 Rue Chanzy, 59800 Lille, France",+33 3 66 76 98 60,https://www.bonsigne.fr/,4.9,Hauts-de-France,
Olivier Traiteur,"17 Rue Jules Ferry, 59252 Marquette-en-Ostrevant, France",+33 3 27 33 53 79,https://www.oliviertraiteur.fr/,4.7,Hauts-de-France,
Traiteur La poêle du batelier,"Rue Gauthier, 59400 Cambrai, France",+33 6 69 28 66 30,https://www.traiteur-la-poele-du-batelier.fr/,4.9,Hauts-de-France,
Lebrun Traiteur,"197 F Rue du Général Koenig, 59136 Wavrin, France",+33 3 20 58 81 92,https://www.lebruntraiteur.fr/,4.7,Hauts-de-France,
My Traiteur,"34 Rue Joseph Dollet, 59277 Rieux-en-Cambrésis, France",+33 6 66 30 01 24,https://www.mytraiteur59.fr/,5.0,Hauts-de-France,
La Ch'tite Cuisine d'Angèle - Traiteur et plats à emporter,"305 Rue de la Chapelle, 62890 Recques-sur-Hem, France",+33 6 17 01 23 57,https://lachtitecuisinedangele.fr/,5.0,Hauts-de-France,
Du Soleil dans la Cuisine Lille,"27 Rue Félix Faure, 59520 Marquette-lez-Lille, France",+33 6 06 93 04 09,https://www.dusoleildanslacuisine.fr/fr/nous-contacter/formulaire/59,4.8,Hauts-de-France,
A la fine bouche,"6 Av. de l'Hermitage, 62223 Saint-Laurent-Blangy, France",+33 3 21 71 34 29,http://www.alafinebouche.com/,4.6,Hauts-de-France,
AG TRAITEUR ET EVENEMENTS,"37b Rue de Faches, 59175 Vendeville, France",+33 6 59 91 87 17,https://agtraiteur.com/,5.0,Hauts-de-France,
Traiteur Depret,"343 Rue nationale, 62290 Nœux-les-Mines, France",+33 3 21 26 38 36,http://www.depret-traiteur.com/,4.5,Hauts-de-France,
Vanheule Stéphane - Les Salons de l'Ostrevent,"16 Rue de Vitry, 62490 Sailly-en-Ostrevent, France",+33 3 21 24 27 35,https://sites.google.com/view/les-salons-de-l-ostrevent/accueil,4.7,Hauts-de-France,
LALAUT TRAITEUR,"2 VC de Marbaix, 59440 Boulogne-sur-Helpe, France",+33 3 27 61 50 02,https://www.traiteur-lalaut.com/,4.4,Hauts-de-France,
TRAITEUR LA FOLLE BOUCHEE,"12 Rue de l'Église, 59230 Saint-Amand-les-Eaux, France",+33 3 27 14 57 45,http://www.traiteurlafollebouchee.com/,4.6,Hauts-de-France,
